  
       XFOIL         Version 6.96
  
 Calculated polar for: WB-140/35/FB 14%                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   4.500   0.9127   0.01269   0.00479  -0.0869   0.2479   0.1484
   4.750   0.9377   0.01284   0.00495  -0.0867   0.2408   0.1485
   5.000   0.9628   0.01298   0.00509  -0.0864   0.2313   0.1485
   5.250   0.9863   0.01321   0.00527  -0.0859   0.2140   0.1485
   5.500   1.0091   0.01347   0.00547  -0.0853   0.1978   0.1485
   5.750   1.0300   0.01383   0.00574  -0.0843   0.1757   0.1484
   6.000   1.0479   0.01434   0.00610  -0.0829   0.1477   0.1484
   6.250   1.0663   0.01479   0.00646  -0.0815   0.1291   0.1484
   6.500   1.0771   0.01562   0.00705  -0.0789   0.0824   0.1484
   6.750   1.0753   0.01681   0.00796  -0.0738   0.0223   0.1484
   7.000   1.0892   0.01721   0.00836  -0.0715   0.0156   0.1484
   7.250   1.1080   0.01755   0.00873  -0.0703   0.0135   0.1484
   7.500   1.1274   0.01791   0.00915  -0.0692   0.0124   0.1484
   7.750   1.1460   0.01833   0.00961  -0.0680   0.0114   0.1484
   8.000   1.1640   0.01879   0.01012  -0.0668   0.0103   0.1485
   8.250   1.1816   0.01929   0.01067  -0.0655   0.0096   0.1485
   8.500   1.2001   0.01974   0.01116  -0.0645   0.0092   0.1485
   8.750   1.2178   0.02023   0.01169  -0.0633   0.0086   0.1485
   9.000   1.2351   0.02076   0.01228  -0.0622   0.0081   0.1486
   9.250   1.2516   0.02134   0.01291  -0.0610   0.0077   0.1486
   9.500   1.2675   0.02198   0.01359  -0.0597   0.0073   0.1487
   9.750   1.2817   0.02275   0.01441  -0.0583   0.0068   0.1488
  10.000   1.2958   0.02354   0.01527  -0.0569   0.0065   0.1489
  10.250   1.3110   0.02428   0.01606  -0.0558   0.0064   0.1490
  10.500   1.3254   0.02507   0.01692  -0.0546   0.0062   0.1491
  10.750   1.3393   0.02593   0.01784  -0.0534   0.0060   0.1492
  11.250   1.3660   0.02778   0.01981  -0.0511   0.0055   0.1497
  11.500   1.3788   0.02876   0.02085  -0.0500   0.0053   0.1500
  11.750   1.3912   0.02980   0.02194  -0.0490   0.0051   0.1504
  12.000   1.4028   0.03092   0.02313  -0.0479   0.0049   0.1509
  12.250   1.4130   0.03218   0.02445  -0.0467   0.0047   0.1514
  12.500   1.4207   0.03367   0.02601  -0.0455   0.0046   0.1523
  12.750   1.4250   0.03552   0.02796  -0.0441   0.0044   0.1536
  13.000   1.4334   0.03705   0.02957  -0.0431   0.0043   0.1548
  13.250   1.4409   0.03869   0.03129  -0.0422   0.0043   0.1558
  13.500   1.4475   0.04041   0.03310  -0.0412   0.0042   0.1690
  13.750   1.4539   0.04219   0.03496  -0.0404   0.0041   0.1709
  14.000   1.4583   0.04417   0.03703  -0.0395   0.0040   0.1716
  14.250   1.4618   0.04629   0.03923  -0.0385   0.0040   0.1721
  14.500   1.4648   0.04849   0.04153  -0.0377   0.0039   0.1726
  14.750   1.4662   0.05094   0.04407  -0.0370   0.0038   0.1732
  15.000   1.4672   0.05353   0.04675  -0.0364   0.0038   0.1735
  15.250   1.4675   0.05626   0.04958  -0.0359   0.0037   0.1739
  15.500   1.4664   0.05925   0.05267  -0.0356   0.0036   0.1742
  15.750   1.4649   0.06240   0.05590  -0.0354   0.0036   0.1746
  16.250   1.4598   0.06924   0.06294  -0.0355   0.0035   0.1751
  16.500   1.4556   0.07302   0.06682  -0.0359   0.0034   0.1751
  16.750   1.4500   0.07711   0.07102  -0.0365   0.0034   0.1751
  17.000   1.4436   0.08143   0.07544  -0.0372   0.0033   0.1751
  17.250   1.4364   0.08593   0.08004  -0.0381   0.0033   0.1751
  17.500   1.4279   0.09068   0.08489  -0.0392   0.0033   0.1751
  17.750   1.4195   0.09552   0.08984  -0.0405   0.0032   0.1751
  18.000   1.4086   0.10082   0.09525  -0.0420   0.0032   0.1751
  18.250   1.3984   0.10609   0.10063  -0.0437   0.0032   0.1751
