  
       XFOIL         Version 6.96
  
 Calculated polar for: WB-135/35  13.5%  smoothed                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   9.250   1.2021   0.02030   0.01294  -0.0465   0.2325   1.0000
   9.500   1.2070   0.02114   0.01365  -0.0434   0.1966   1.0000
   9.750   1.2026   0.02273   0.01487  -0.0396   0.1438   1.0000
  10.000   1.1797   0.02587   0.01733  -0.0344   0.0592   1.0000
  10.250   1.1762   0.02791   0.01923  -0.0315   0.0394   1.0000
  10.500   1.1811   0.02944   0.02082  -0.0295   0.0346   1.0000
  10.750   1.1840   0.03118   0.02263  -0.0275   0.0312   1.0000
  11.000   1.1859   0.03306   0.02462  -0.0256   0.0294   1.0000
  11.250   1.1896   0.03487   0.02657  -0.0241   0.0282   1.0000
  11.500   1.1916   0.03688   0.02873  -0.0226   0.0275   1.0000
  11.750   1.1915   0.03915   0.03113  -0.0213   0.0267   1.0000
  12.000   1.1905   0.04158   0.03369  -0.0202   0.0263   1.0000
  12.250   1.1865   0.04441   0.03663  -0.0192   0.0257   1.0000
  12.500   1.1820   0.04738   0.03971  -0.0184   0.0253   1.0000
  12.750   1.1790   0.05031   0.04274  -0.0178   0.0251   1.0000
  13.000   1.1747   0.05346   0.04599  -0.0173   0.0249   1.0000
  13.250   1.1702   0.05673   0.04933  -0.0169   0.0245   1.0000
  13.500   1.1665   0.05994   0.05260  -0.0165   0.0241   1.0000
  13.750   1.1643   0.06294   0.05565  -0.0158   0.0237   1.0000
  14.000   1.1666   0.06529   0.05800  -0.0146   0.0230   1.0000
  14.250   1.1720   0.06760   0.06041  -0.0143   0.0227   1.0000
  14.500   1.1789   0.06970   0.06260  -0.0136   0.0224   1.0000
  14.750   1.1866   0.07174   0.06472  -0.0129   0.0221   1.0000
  15.000   1.1968   0.07349   0.06656  -0.0119   0.0219   1.0000
  15.250   1.2070   0.07538   0.06855  -0.0110   0.0218   1.0000
  15.500   1.2166   0.07746   0.07076  -0.0100   0.0217   1.0000
  15.750   1.2241   0.07991   0.07336  -0.0094   0.0218   1.0000
  16.000   1.2298   0.08271   0.07635  -0.0089   0.0219   1.0000
  16.250   1.2329   0.08591   0.07972  -0.0087   0.0221   1.0000
  16.500   1.2335   0.08955   0.08354  -0.0088   0.0223   1.0000
  16.750   1.2325   0.09354   0.08771  -0.0091   0.0226   1.0000
  17.000   1.2312   0.09796   0.09231  -0.0093   0.0229   1.0000
  17.250   1.2323   0.10206   0.09658  -0.0097   0.0232   1.0000
  17.500   1.2232   0.10610   0.10078  -0.0118   0.0235   1.0000
  17.750   1.2091   0.11158   0.10647  -0.0145   0.0237   1.0000
  18.000   1.1941   0.11764   0.11272  -0.0175   0.0237   1.0000
  18.250   1.1724   0.12516   0.12054  -0.0222   0.0243   1.0000
  18.500   1.1269   0.13840   0.13421  -0.0312   0.0253   1.0000
  18.750   1.0918   0.15066   0.14675  -0.0393   0.0262   1.0000
