  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-K-135/20 B                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  11.000   0.9927   0.04307   0.03394  -0.0026   0.0549   1.0000
  11.250   0.9986   0.04496   0.03592  -0.0010   0.0519   1.0000
  11.500   1.0101   0.04655   0.03759   0.0004   0.0492   1.0000
  11.750   1.0293   0.04788   0.03891   0.0016   0.0466   1.0000
  12.000   1.0894   0.04914   0.03997   0.0015   0.0431   1.0000
  12.250   1.1101   0.05092   0.04202   0.0022   0.0419   1.0000
  12.500   1.1314   0.05311   0.04449   0.0029   0.0405   1.0000
  12.750   1.1517   0.05586   0.04755   0.0035   0.0400   1.0000
  13.000   1.1639   0.05909   0.05115   0.0045   0.0401   1.0000
  13.250   1.1674   0.06256   0.05495   0.0056   0.0403   1.0000
  13.500   1.1651   0.06627   0.05898   0.0069   0.0407   1.0000
  13.750   1.1577   0.07021   0.06322   0.0080   0.0410   1.0000
  14.000   1.1476   0.07439   0.06768   0.0088   0.0414   1.0000
  14.250   1.1359   0.07886   0.07240   0.0093   0.0419   1.0000
  14.500   1.1220   0.08375   0.07752   0.0094   0.0423   1.0000
  14.750   1.1111   0.08931   0.08326   0.0091   0.0429   1.0000
  15.000   1.1034   0.09387   0.08804   0.0087   0.0436   1.0000
  15.250   1.0805   0.09808   0.09250   0.0077   0.0442   1.0000
  15.500   1.0498   0.10403   0.09872   0.0052   0.0448   1.0000
  15.750   1.0105   0.11233   0.10729   0.0005   0.0453   1.0000
  16.000   0.9611   0.12447   0.11969  -0.0076   0.0462   1.0000
  16.250   0.8903   0.14686   0.14218  -0.0227   0.0491   1.0000
  16.500   0.8746   0.15805   0.15333  -0.0284   0.0522   1.0000
  16.750   0.8821   0.16123   0.15651  -0.0288   0.0538   1.0000
