  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43012-1.58 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  10.000   1.2657   0.01686   0.01040   0.0006   0.1517   1.0000
  10.250   1.2843   0.01718   0.01078   0.0020   0.1496   1.0000
  10.500   1.3025   0.01745   0.01108   0.0035   0.1472   1.0000
  10.750   1.3190   0.01780   0.01142   0.0052   0.1443   1.0000
  11.000   1.3335   0.01833   0.01195   0.0072   0.1416   1.0000
  11.250   1.3494   0.01862   0.01234   0.0091   0.1401   1.0000
  11.500   1.3643   0.01895   0.01275   0.0111   0.1384   1.0000
  11.750   1.3789   0.01929   0.01315   0.0131   0.1363   1.0000
  12.000   1.3930   0.01970   0.01360   0.0151   0.1345   1.0000
  12.250   1.4062   0.02018   0.01411   0.0170   0.1327   1.0000
  12.500   1.4176   0.02083   0.01477   0.0191   0.1305   1.0000
  12.750   1.4306   0.02145   0.01546   0.0208   0.1289   1.0000
  13.000   1.4454   0.02191   0.01603   0.0223   0.1273   1.0000
  13.250   1.4595   0.02242   0.01664   0.0237   0.1253   1.0000
  13.500   1.4726   0.02299   0.01727   0.0251   0.1229   1.0000
  13.750   1.4831   0.02375   0.01806   0.0267   0.1203   1.0000
  14.000   1.4904   0.02482   0.01914   0.0283   0.1178   1.0000
  14.250   1.5034   0.02555   0.02000   0.0294   0.1161   1.0000
  14.500   1.5155   0.02636   0.02094   0.0303   0.1139   1.0000
  14.750   1.5258   0.02735   0.02201   0.0312   0.1114   1.0000
  15.000   1.5328   0.02863   0.02334   0.0322   0.1089   1.0000
  15.250   1.5360   0.03031   0.02504   0.0331   0.1065   1.0000
  15.500   1.5461   0.03155   0.02644   0.0335   0.1042   1.0000
  15.750   1.5551   0.03294   0.02795   0.0337   0.1009   1.0000
  16.000   1.5585   0.03491   0.02999   0.0338   0.0978   1.0000
  16.250   1.5567   0.03751   0.03263   0.0336   0.0947   1.0000
  16.500   1.5657   0.03916   0.03444   0.0334   0.0907   1.0000
  16.750   1.5619   0.04226   0.03759   0.0327   0.0854   1.0000
  17.000   1.5613   0.04511   0.04055   0.0319   0.0790   1.0000
  17.250   1.5487   0.04950   0.04499   0.0305   0.0715   1.0000
  17.500   1.5254   0.05544   0.05098   0.0282   0.0650   1.0000
  17.750   1.4988   0.06206   0.05770   0.0256   0.0608   1.0000
  18.000   1.4679   0.06965   0.06540   0.0223   0.0586   1.0000
  18.250   1.4357   0.07754   0.07343   0.0189   0.0570   1.0000
  18.500   1.4018   0.08590   0.08192   0.0153   0.0557   1.0000
  18.750   1.3686   0.09430   0.09045   0.0116   0.0549   1.0000
  19.000   1.3336   0.10316   0.09941   0.0075   0.0536   1.0000
