  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 93-K-132/15                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.500  -0.4736   0.12018   0.11472  -0.0198   1.0000   0.2323
  -8.250  -0.4544   0.11572   0.11024  -0.0174   1.0000   0.2435
  -8.000  -0.4948   0.11563   0.11030  -0.0161   1.0000   0.2475
  -7.750  -0.4791   0.11157   0.10623  -0.0137   1.0000   0.2604
  -7.500  -0.4802   0.10858   0.10329  -0.0115   1.0000   0.2700
  -7.250  -0.5162   0.10786   0.10269  -0.0089   1.0000   0.2769
  -7.000  -0.5125   0.10467   0.09953  -0.0063   1.0000   0.2900
  -6.750  -0.5183   0.10197   0.09688  -0.0035   1.0000   0.3018
  -6.500  -0.5671   0.10131   0.09634  -0.0008   1.0000   0.3080
  -6.250  -0.4251   0.09435   0.08971  -0.0005   1.0000   0.3489
  -6.000  -0.5576   0.09486   0.08997   0.0060   1.0000   0.3444
  -5.750  -0.5660   0.09247   0.08763   0.0095   1.0000   0.3651
  -4.750  -0.4973   0.08217   0.07738   0.0307   1.0000   0.5752
  -4.500  -0.4684   0.07944   0.07462   0.0342   1.0000   0.6406
  -4.250  -0.4652   0.07648   0.07170   0.0367   1.0000   0.6607
  -4.000  -0.4942   0.07410   0.06942   0.0410   1.0000   0.6504
  -3.750  -0.5187   0.05351   0.04572  -0.0106   1.0000   0.1404
  -3.500  -0.4960   0.05001   0.04144  -0.0098   1.0000   0.1270
  -3.250  -0.4755   0.04708   0.03823  -0.0090   1.0000   0.1232
  -3.000  -0.4510   0.04426   0.03462  -0.0080   1.0000   0.1159
  -2.750  -0.4266   0.04242   0.03212  -0.0068   1.0000   0.1128
  -2.500  -0.4026   0.04060   0.02987  -0.0060   1.0000   0.1130
  -2.250  -0.3796   0.03887   0.02807  -0.0056   1.0000   0.1187
  -2.000  -0.3550   0.03772   0.02660  -0.0049   1.0000   0.1249
  -1.750  -0.3284   0.03652   0.02520  -0.0044   1.0000   0.1316
  -1.500  -0.3007   0.03574   0.02436  -0.0044   1.0000   0.1490
  -1.250  -0.1800   0.03248   0.02428  -0.0176   1.0000   1.0000
  -1.000  -0.1656   0.03283   0.02411  -0.0160   1.0000   1.0000
  -0.750  -0.1514   0.03321   0.02407  -0.0144   1.0000   1.0000
  -0.500  -0.1372   0.03362   0.02416  -0.0130   1.0000   1.0000
  -0.250  -0.1229   0.03408   0.02432  -0.0117   1.0000   1.0000
   0.000  -0.1084   0.03457   0.02455  -0.0104   1.0000   1.0000
   0.250  -0.0938   0.03510   0.02484  -0.0093   1.0000   1.0000
   0.500  -0.0790   0.03568   0.02517  -0.0082   1.0000   1.0000
   0.750  -0.0641   0.03629   0.02559  -0.0072   1.0000   1.0000
   1.000  -0.0491   0.03694   0.02606  -0.0063   1.0000   1.0000
   1.250  -0.0341   0.03763   0.02658  -0.0055   1.0000   1.0000
   1.500  -0.0190   0.03837   0.02717  -0.0047   1.0000   1.0000
   1.750  -0.0039   0.03914   0.02779  -0.0040   1.0000   1.0000
   2.000   0.0113   0.03996   0.02849  -0.0034   1.0000   1.0000
   2.250   0.0264   0.04082   0.02924  -0.0028   1.0000   1.0000
   2.500   0.0415   0.04173   0.03005  -0.0023   1.0000   1.0000
   2.750   0.0565   0.04268   0.03091  -0.0018   1.0000   1.0000
   3.000   0.0715   0.04368   0.03184  -0.0014   1.0000   1.0000
   3.250   0.0864   0.04473   0.03282  -0.0011   1.0000   1.0000
   3.500   0.1012   0.04582   0.03386  -0.0008   1.0000   1.0000
   3.750   0.1158   0.04697   0.03497  -0.0005   1.0000   1.0000
   4.000   0.1447   0.04902   0.03697  -0.0032   0.9947   1.0000
   4.250   0.1937   0.05222   0.04016  -0.0100   0.9740   1.0000
   4.500   0.2318   0.05471   0.04266  -0.0144   0.9498   1.0000
   4.750   0.2727   0.05780   0.04576  -0.0189   0.9308   1.0000
   5.000   0.2940   0.05922   0.04722  -0.0197   0.9071   1.0000
   5.250   0.3250   0.06164   0.04968  -0.0222   0.8889   1.0000
   5.500   0.3545   0.06425   0.05234  -0.0244   0.8727   1.0000
   5.750   0.3648   0.06536   0.05352  -0.0234   0.8557   1.0000
   6.000   0.3855   0.06732   0.05553  -0.0242   0.8400   1.0000
   6.250   0.4079   0.06946   0.05775  -0.0252   0.8253   1.0000
   6.500   0.4325   0.07177   0.06017  -0.0264   0.8100   1.0000
   7.000   0.5167   0.07268   0.06130  -0.0285   0.7252   1.0000
   7.250   0.5343   0.07339   0.06210  -0.0278   0.7041   1.0000
   7.500   0.5673   0.07422   0.06311  -0.0285   0.6839   1.0000
