  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43015-2.48 AIRFOIL               
   9.250   1.2172   0.01630   0.00945  -0.0011   0.1566   1.0000
   9.500   1.2281   0.01654   0.00972   0.0018   0.1544   1.0000
   9.750   1.2392   0.01683   0.01002   0.0047   0.1520   1.0000
  10.000   1.2503   0.01717   0.01037   0.0074   0.1497   1.0000
  10.250   1.2616   0.01756   0.01076   0.0100   0.1475   1.0000
  10.500   1.2756   0.01790   0.01115   0.0120   0.1459   1.0000
  10.750   1.2895   0.01827   0.01157   0.0141   0.1440   1.0000
  11.000   1.3030   0.01869   0.01202   0.0160   0.1421   1.0000
  11.250   1.3161   0.01916   0.01252   0.0180   0.1401   1.0000
  11.500   1.3281   0.01971   0.01308   0.0199   0.1377   1.0000
  11.750   1.3394   0.02033   0.01371   0.0219   0.1356   1.0000
  12.000   1.3539   0.02083   0.01428   0.0233   0.1337   1.0000
  12.250   1.3673   0.02142   0.01492   0.0248   0.1319   1.0000
  12.500   1.3797   0.02208   0.01562   0.0263   0.1300   1.0000
  12.750   1.3912   0.02283   0.01641   0.0278   0.1283   1.0000
  13.000   1.4016   0.02368   0.01729   0.0293   0.1264   1.0000
  13.250   1.4101   0.02469   0.01832   0.0307   0.1245   1.0000
  13.500   1.4225   0.02551   0.01923   0.0318   0.1233   1.0000
  13.750   1.4338   0.02644   0.02022   0.0328   0.1215   1.0000
  14.000   1.4439   0.02749   0.02133   0.0337   0.1193   1.0000
  14.250   1.4523   0.02871   0.02259   0.0346   0.1174   1.0000
  14.500   1.4585   0.03015   0.02408   0.0355   0.1156   1.0000
  14.750   1.4627   0.03182   0.02578   0.0363   0.1139   1.0000
  15.000   1.4716   0.03316   0.02722   0.0367   0.1129   1.0000
  15.250   1.4795   0.03465   0.02880   0.0371   0.1116   1.0000
  15.500   1.4860   0.03631   0.03055   0.0374   0.1104   1.0000
  15.750   1.4910   0.03816   0.03248   0.0376   0.1090   1.0000
  16.000   1.4934   0.04033   0.03472   0.0376   0.1074   1.0000
  16.250   1.4945   0.04270   0.03716   0.0375   0.1062   1.0000
  16.500   1.4925   0.04549   0.04001   0.0372   0.1047   1.0000
  16.750   1.4903   0.04834   0.04295   0.0368   0.1035   1.0000
  17.000   1.4927   0.05081   0.04553   0.0363   0.1021   1.0000
  17.250   1.4923   0.05362   0.04845   0.0356   0.1007   1.0000
  17.500   1.4894   0.05680   0.05172   0.0348   0.0992   1.0000
  17.750   1.4842   0.06031   0.05532   0.0337   0.0977   1.0000
  18.000   1.4750   0.06441   0.05950   0.0324   0.0962   1.0000
  18.250   1.4629   0.06895   0.06413   0.0308   0.0948   1.0000
  18.500   1.4547   0.07303   0.06831   0.0294   0.0934   1.0000
  18.750   1.4467   0.07716   0.07256   0.0279   0.0918   1.0000
  19.000   1.4354   0.08181   0.07732   0.0261   0.0900   1.0000
  19.250   1.4205   0.08701   0.08260   0.0240   0.0881   1.0000
