  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43015-2.48 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.500  -0.3979   0.13194   0.12933  -0.0219   1.0000   0.0278
 -13.250  -0.3953   0.12827   0.12567  -0.0232   1.0000   0.0286
 -13.000  -0.4238   0.11686   0.11426  -0.0326   1.0000   0.0300
 -12.750  -0.4167   0.11444   0.11186  -0.0316   1.0000   0.0302
 -12.500  -0.4101   0.11199   0.10943  -0.0313   1.0000   0.0303
 -12.250  -0.4034   0.10965   0.10710  -0.0312   1.0000   0.0305
 -12.000  -0.3989   0.10686   0.10433  -0.0315   1.0000   0.0308
 -11.750  -0.3972   0.10350   0.10099  -0.0325   1.0000   0.0311
 -11.500  -0.3730   0.07934   0.07696  -0.0508   1.0000   0.0342
 -11.250  -0.3546   0.07971   0.07740  -0.0467   1.0000   0.0344
 -11.000  -0.3669   0.07384   0.07153  -0.0491   1.0000   0.0345
 -10.750  -0.3949   0.06675   0.06439  -0.0527   1.0000   0.0346
 -10.500  -0.4351   0.06058   0.05813  -0.0546   1.0000   0.0345
 -10.250  -0.4724   0.05662   0.05409  -0.0531   1.0000   0.0345
 -10.000  -0.5006   0.05429   0.05172  -0.0494   1.0000   0.0346
  -9.750  -0.5417   0.05294   0.05031  -0.0421   1.0000   0.0345
  -9.500  -0.5541   0.05081   0.04815  -0.0389   0.9984   0.0346
  -9.250  -0.5383   0.04705   0.04433  -0.0410   0.9946   0.0349
  -9.000  -0.5233   0.04353   0.04073  -0.0427   0.9899   0.0352
  -8.750  -0.5063   0.03999   0.03708  -0.0443   0.9850   0.0358
  -8.500  -0.5180   0.03373   0.03008  -0.0419   0.9758   0.0389
  -8.250  -0.4914   0.03055   0.02695  -0.0439   0.9724   0.0393
  -8.000  -0.4641   0.02799   0.02437  -0.0457   0.9699   0.0397
  -7.750  -0.4431   0.02587   0.02218  -0.0459   0.9642   0.0404
  -7.500  -0.4304   0.02266   0.01830  -0.0437   0.9572   0.0440
  -7.250  -0.4021   0.01996   0.01566  -0.0454   0.9544   0.0445
  -7.000  -0.3824   0.01840   0.01407  -0.0447   0.9448   0.0449
  -6.750  -0.3555   0.01676   0.01236  -0.0452   0.9386   0.0457
  -6.500  -0.3441   0.01543   0.01050  -0.0414   0.9245   0.0497
  -6.250  -0.3203   0.01375   0.00887  -0.0415   0.9155   0.0504
  -6.000  -0.3180   0.02121   0.01519  -0.0376   0.9241   0.0389
  -5.750  -0.2874   0.01953   0.01348  -0.0380   0.9134   0.0383
  -5.500  -0.2548   0.01793   0.01173  -0.0385   0.9010   0.0381
  -5.250  -0.2261   0.01698   0.01060  -0.0382   0.8849   0.0385
  -5.000  -0.1977   0.01609   0.00956  -0.0378   0.8661   0.0388
  -4.750  -0.1687   0.01502   0.00840  -0.0377   0.8455   0.0390
  -4.500  -0.1421   0.01419   0.00753  -0.0372   0.8238   0.0394
  -4.250  -0.1176   0.01370   0.00698  -0.0362   0.8014   0.0399
  -4.000  -0.0945   0.01329   0.00648  -0.0349   0.7767   0.0404
  -3.500  -0.0509   0.01270   0.00568  -0.0318   0.7261   0.0419
  -3.250  -0.0299   0.01246   0.00532  -0.0301   0.7009   0.0428
  -3.000  -0.0089   0.01230   0.00502  -0.0283   0.6763   0.0436
  -2.750   0.0101   0.01196   0.00459  -0.0263   0.6521   0.0444
  -2.500   0.0297   0.01173   0.00429  -0.0244   0.6274   0.0452
  -2.250   0.0502   0.01162   0.00407  -0.0227   0.6018   0.0464
  -2.000   0.0711   0.01153   0.00387  -0.0210   0.5762   0.0479
  -1.750   0.0924   0.01147   0.00369  -0.0194   0.5492   0.0492
  -1.500   0.1127   0.01136   0.00348  -0.0177   0.5241   0.0512
  -1.250   0.1349   0.01135   0.00339  -0.0163   0.5000   0.0542
  -1.000   0.1568   0.01129   0.00325  -0.0149   0.4775   0.0575
  -0.750   0.1795   0.01130   0.00317  -0.0136   0.4566   0.0624
  -0.500   0.2018   0.01125   0.00309  -0.0123   0.4380   0.0721
  -0.250   0.2237   0.01117   0.00298  -0.0109   0.4211   0.0930
   0.000   0.2304   0.01004   0.00271  -0.0070   0.4082   0.3965
   0.250   0.2344   0.00916   0.00267  -0.0022   0.3962   0.6272
   0.500   0.2474   0.00888   0.00273   0.0012   0.3840   0.7317
   0.750   0.2660   0.00881   0.00282   0.0035   0.3714   0.7935
   1.000   0.2909   0.00881   0.00296   0.0046   0.3588   0.8456
   1.250   0.3231   0.00896   0.00316   0.0041   0.3459   0.8870
   1.500   0.3618   0.00928   0.00344   0.0022   0.3323   0.9178
   1.750   0.3977   0.00964   0.00371   0.0009   0.3188   0.9359
   2.000   0.4355   0.00991   0.00391  -0.0009   0.3063   0.9426
   2.250   0.4744   0.01021   0.00411  -0.0031   0.2945   0.9474
   2.750   0.5474   0.01080   0.00453  -0.0065   0.2731   0.9575
   3.000   0.5875   0.01114   0.00477  -0.0090   0.2645   0.9607
   3.250   0.6237   0.01139   0.00498  -0.0106   0.2582   0.9666
   3.500   0.6581   0.01166   0.00517  -0.0120   0.2518   0.9705
   3.750   0.6965   0.01189   0.00536  -0.0143   0.2461   0.9726
   4.000   0.7339   0.01210   0.00554  -0.0163   0.2410   0.9756
   4.250   0.7665   0.01237   0.00575  -0.0174   0.2360   0.9803
   4.500   0.8015   0.01265   0.00597  -0.0190   0.2315   0.9833
   4.750   0.8402   0.01279   0.00613  -0.0214   0.2279   0.9855
   5.000   0.8768   0.01298   0.00630  -0.0234   0.2239   0.9884
   5.250   0.9106   0.01324   0.00650  -0.0249   0.2200   0.9918
   5.500   0.9449   0.01355   0.00677  -0.0265   0.2158   0.9945
   5.750   0.9820   0.01364   0.00690  -0.0286   0.2129   0.9969
   6.000   1.0181   0.01379   0.00705  -0.0306   0.2093   0.9993
   6.250   1.0414   0.01398   0.00722  -0.0300   0.2061   1.0000
   6.500   1.0563   0.01425   0.00746  -0.0277   0.2029   1.0000
   6.750   1.0717   0.01453   0.00773  -0.0255   0.1999   1.0000
   7.000   1.0888   0.01466   0.00791  -0.0236   0.1977   1.0000
   7.250   1.1053   0.01483   0.00811  -0.0215   0.1951   1.0000
   7.500   1.1211   0.01503   0.00832  -0.0194   0.1925   1.0000
