  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V43015-2.48 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -11.250  -0.4139   0.08968   0.08576  -0.0436   1.0000   0.0322
 -11.000  -0.4164   0.08575   0.08186  -0.0448   1.0000   0.0320
 -10.750  -0.4282   0.07995   0.07608  -0.0483   1.0000   0.0316
 -10.500  -0.4485   0.07438   0.07049  -0.0513   1.0000   0.0310
 -10.250  -0.4807   0.06930   0.06534  -0.0525   1.0000   0.0308
 -10.000  -0.5105   0.06601   0.06199  -0.0503   1.0000   0.0304
  -9.750  -0.5426   0.06382   0.05975  -0.0452   1.0000   0.0302
  -9.500  -0.5732   0.06202   0.05790  -0.0389   1.0000   0.0301
  -9.250  -0.5950   0.05925   0.05500  -0.0343   0.9992   0.0298
  -9.000  -0.5881   0.05468   0.05015  -0.0356   0.9920   0.0298
  -8.750  -0.5773   0.05075   0.04596  -0.0361   0.9849   0.0300
  -8.500  -0.5634   0.04746   0.04242  -0.0362   0.9779   0.0303
  -8.250  -0.5465   0.04402   0.03866  -0.0364   0.9714   0.0313
  -8.000  -0.5324   0.04067   0.03496  -0.0354   0.9631   0.0316
  -7.750  -0.5108   0.03717   0.03108  -0.0355   0.9572   0.0318
  -7.500  -0.4929   0.03399   0.02750  -0.0342   0.9480   0.0320
  -7.250  -0.4641   0.03141   0.02460  -0.0349   0.9417   0.0327
  -7.000  -0.4369   0.03040   0.02354  -0.0351   0.9316   0.0332
  -6.750  -0.4046   0.02891   0.02190  -0.0362   0.9238   0.0339
  -6.500  -0.3805   0.02729   0.02007  -0.0354   0.9123   0.0343
  -6.250  -0.3473   0.02543   0.01796  -0.0363   0.9047   0.0347
  -6.000  -0.3213   0.02395   0.01629  -0.0357   0.8926   0.0351
  -5.750  -0.2883   0.02243   0.01454  -0.0363   0.8830   0.0358
  -5.500  -0.2572   0.02118   0.01305  -0.0365   0.8706   0.0367
  -5.250  -0.2268   0.02040   0.01228  -0.0369   0.8565   0.0374
  -5.000  -0.1956   0.01965   0.01148  -0.0373   0.8418   0.0380
  -4.750  -0.1645   0.01884   0.01058  -0.0376   0.8244   0.0386
  -4.500  -0.1351   0.01811   0.00974  -0.0374   0.8023   0.0392
  -4.250  -0.1074   0.01746   0.00897  -0.0370   0.7775   0.0399
  -4.000  -0.0817   0.01692   0.00826  -0.0361   0.7498   0.0406
  -3.750  -0.0587   0.01647   0.00766  -0.0348   0.7196   0.0414
  -3.500  -0.0367   0.01618   0.00728  -0.0333   0.6919   0.0424
  -3.250  -0.0152   0.01592   0.00693  -0.0318   0.6662   0.0436
  -3.000   0.0057   0.01565   0.00655  -0.0302   0.6428   0.0448
  -2.750   0.0260   0.01539   0.00616  -0.0284   0.6190   0.0459
  -2.500   0.0456   0.01516   0.00583  -0.0265   0.5951   0.0469
  -2.250   0.0655   0.01499   0.00558  -0.0247   0.5710   0.0482
  -2.000   0.0856   0.01486   0.00533  -0.0229   0.5467   0.0498
  -1.750   0.1061   0.01476   0.00510  -0.0213   0.5238   0.0521
  -1.500   0.1270   0.01470   0.00495  -0.0197   0.5026   0.0549
  -1.250   0.1484   0.01466   0.00479  -0.0182   0.4826   0.0586
  -1.000   0.1700   0.01462   0.00466  -0.0167   0.4636   0.0635
  -0.750   0.1917   0.01459   0.00454  -0.0153   0.4456   0.0703
  -0.500   0.2135   0.01457   0.00443  -0.0139   0.4286   0.0814
  -0.250   0.2348   0.01451   0.00432  -0.0125   0.4134   0.0996
   0.000   0.2387   0.01318   0.00408  -0.0083   0.4022   0.4337
   0.250   0.2466   0.01248   0.00413  -0.0041   0.3916   0.6237
   0.500   0.2642   0.01227   0.00428  -0.0015   0.3802   0.7356
   0.750   0.3042   0.01235   0.00466  -0.0031   0.3659   0.8370
   1.000   0.3521   0.01273   0.00502  -0.0067   0.3514   0.8818
   1.250   0.3888   0.01304   0.00522  -0.0082   0.3389   0.8988
   1.500   0.4235   0.01333   0.00540  -0.0094   0.3271   0.9116
   1.750   0.4554   0.01360   0.00559  -0.0100   0.3173   0.9249
   2.000   0.4937   0.01395   0.00582  -0.0119   0.3071   0.9343
   2.250   0.5278   0.01423   0.00604  -0.0130   0.2976   0.9435
   2.500   0.5626   0.01454   0.00623  -0.0145   0.2886   0.9499
   2.750   0.5920   0.01476   0.00640  -0.0148   0.2810   0.9572
   3.000   0.6279   0.01503   0.00658  -0.0165   0.2734   0.9614
   3.250   0.6590   0.01528   0.00677  -0.0173   0.2663   0.9679
   3.500   0.6926   0.01552   0.00694  -0.0186   0.2585   0.9726
   3.750   0.7263   0.01581   0.00713  -0.0200   0.2522   0.9773
   4.000   0.7577   0.01604   0.00735  -0.0209   0.2465   0.9828
   4.250   0.7931   0.01629   0.00754  -0.0227   0.2413   0.9864
   4.500   0.8256   0.01660   0.00777  -0.0240   0.2370   0.9907
   4.750   0.8594   0.01683   0.00801  -0.0255   0.2327   0.9945
   5.000   0.8936   0.01706   0.00824  -0.0271   0.2279   0.9981
   5.250   0.9200   0.01734   0.00847  -0.0272   0.2240   1.0000
   5.500   0.9348   0.01764   0.00871  -0.0249   0.2209   1.0000
   5.750   0.9512   0.01787   0.00897  -0.0229   0.2182   1.0000
   6.000   0.9677   0.01811   0.00924  -0.0209   0.2153   1.0000
   6.250   0.9837   0.01837   0.00951  -0.0188   0.2124   1.0000
   6.500   0.9991   0.01866   0.00979  -0.0166   0.2096   1.0000
   6.750   1.0138   0.01898   0.01010  -0.0144   0.2070   1.0000
   7.000   1.0280   0.01937   0.01044  -0.0121   0.2044   1.0000
   7.250   1.0439   0.01966   0.01078  -0.0100   0.2020   1.0000
   7.500   1.0594   0.01995   0.01113  -0.0079   0.1993   1.0000
   7.750   1.0742   0.02027   0.01148  -0.0057   0.1965   1.0000
   8.000   1.0882   0.02061   0.01184  -0.0033   0.1938   1.0000
   8.250   1.1013   0.02099   0.01220  -0.0009   0.1912   1.0000
   8.500   1.1138   0.02143   0.01261   0.0016   0.1888   1.0000
   8.750   1.1263   0.02176   0.01301   0.0041   0.1866   1.0000
   9.000   1.1383   0.02211   0.01343   0.0068   0.1842   1.0000
   9.250   1.1500   0.02249   0.01386   0.0094   0.1818   1.0000
