  
       XFOIL         Version 6.96
  
 Calculated polar for: AG04                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -9.000  -0.5765   0.11133   0.10650   0.0166   1.0000   0.0427
  -8.750  -0.5735   0.10727   0.10247   0.0145   1.0000   0.0426
  -8.500  -0.5718   0.10299   0.09824   0.0115   1.0000   0.0422
  -8.250  -0.5659   0.09706   0.09228   0.0102   1.0000   0.0270
  -8.000  -0.5625   0.09299   0.08825   0.0085   1.0000   0.0259
  -7.750  -0.5601   0.08866   0.08397   0.0059   1.0000   0.0249
  -7.500  -0.5567   0.08388   0.07924   0.0020   1.0000   0.0240
  -7.250  -0.5499   0.07823   0.07362  -0.0037   1.0000   0.0230
  -7.000  -0.5403   0.07136   0.06674  -0.0111   1.0000   0.0219
  -6.500  -0.5066   0.05268   0.04759  -0.0280   1.0000   0.0194
  -6.250  -0.4911   0.04661   0.04123  -0.0315   1.0000   0.0192
  -6.000  -0.4728   0.04084   0.03501  -0.0342   1.0000   0.0191
  -5.750  -0.4521   0.03572   0.02934  -0.0359   1.0000   0.0191
  -5.500  -0.4293   0.03145   0.02444  -0.0368   1.0000   0.0192
  -5.250  -0.4054   0.02773   0.02013  -0.0371   1.0000   0.0196
  -5.000  -0.3817   0.02525   0.01732  -0.0373   1.0000   0.0216
  -4.750  -0.3562   0.02363   0.01540  -0.0371   1.0000   0.0246
  -4.500  -0.3298   0.02152   0.01288  -0.0367   1.0000   0.0266
  -4.250  -0.3035   0.01974   0.01076  -0.0360   1.0000   0.0285
  -4.000  -0.2782   0.01820   0.00915  -0.0356   1.0000   0.0330
  -3.750  -0.2520   0.01721   0.00800  -0.0351   1.0000   0.0406
  -3.500  -0.2264   0.01615   0.00688  -0.0346   1.0000   0.0524
  -3.250  -0.2007   0.01520   0.00597  -0.0343   1.0000   0.0725
  -3.000  -0.1750   0.01448   0.00531  -0.0339   1.0000   0.1049
  -2.750  -0.1494   0.01385   0.00484  -0.0336   1.0000   0.1463
  -2.500  -0.1240   0.01328   0.00446  -0.0332   1.0000   0.1972
  -2.250  -0.0987   0.01275   0.00412  -0.0329   1.0000   0.2622
  -2.000  -0.0737   0.01224   0.00390  -0.0325   1.0000   0.3451
  -1.750  -0.0490   0.01172   0.00373  -0.0320   1.0000   0.4488
  -1.500  -0.0254   0.01111   0.00361  -0.0311   1.0000   0.5843
  -1.250  -0.0026   0.01018   0.00353  -0.0287   1.0000   0.8640
  -1.000   0.0297   0.01010   0.00332  -0.0297   1.0000   1.0000
  -0.750   0.0542   0.01016   0.00325  -0.0293   1.0000   1.0000
  -0.500   0.0902   0.01024   0.00318  -0.0312   0.9899   1.0000
  -0.250   0.1333   0.01031   0.00311  -0.0344   0.9717   1.0000
