  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL VR-11X AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  14.250   1.4446   0.03039   0.02422   0.0115   0.0294   1.0000
  14.500   1.4507   0.03174   0.02568   0.0133   0.0287   1.0000
  14.750   1.4552   0.03324   0.02728   0.0150   0.0280   1.0000
  15.000   1.4575   0.03496   0.02910   0.0168   0.0273   1.0000
  15.250   1.4571   0.03697   0.03120   0.0185   0.0266   1.0000
  15.500   1.4533   0.03937   0.03369   0.0201   0.0259   1.0000
  15.750   1.4462   0.04221   0.03665   0.0215   0.0254   1.0000
  16.000   1.4435   0.04484   0.03942   0.0223   0.0251   1.0000
  16.250   1.4397   0.04779   0.04251   0.0227   0.0249   1.0000
  16.500   1.4340   0.05127   0.04613   0.0225   0.0246   1.0000
  16.750   1.4260   0.05535   0.05036   0.0218   0.0243   1.0000
  17.000   1.4151   0.06015   0.05532   0.0203   0.0241   1.0000
  17.250   1.4018   0.06565   0.06097   0.0183   0.0240   1.0000
  17.500   1.3852   0.07194   0.06742   0.0156   0.0239   1.0000
  17.750   1.3656   0.07891   0.07455   0.0124   0.0238   1.0000
  18.000   1.3439   0.08636   0.08216   0.0091   0.0237   1.0000
  18.250   1.3213   0.09399   0.08993   0.0056   0.0237   1.0000
