  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING VERTOL V(1.95)3009-1.25 AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   6.000   0.7745   0.00928   0.00331  -0.0113   0.0859   1.0000
   6.250   0.7995   0.00955   0.00353  -0.0108   0.0787   1.0000
   6.500   0.8248   0.00976   0.00373  -0.0103   0.0739   1.0000
   6.750   0.8502   0.01000   0.00396  -0.0098   0.0693   1.0000
   7.000   0.8755   0.01027   0.00421  -0.0093   0.0647   1.0000
   7.250   0.9011   0.01049   0.00443  -0.0089   0.0616   1.0000
   7.500   0.9265   0.01077   0.00470  -0.0085   0.0574   1.0000
   7.750   0.9519   0.01105   0.00498  -0.0081   0.0539   1.0000
   8.000   0.9775   0.01131   0.00524  -0.0077   0.0509   1.0000
   8.250   1.0026   0.01164   0.00556  -0.0073   0.0470   1.0000
   8.500   1.0279   0.01194   0.00587  -0.0069   0.0440   1.0000
   8.750   1.0530   0.01226   0.00618  -0.0065   0.0409   1.0000
   9.000   1.0778   0.01264   0.00655  -0.0061   0.0375   1.0000
   9.250   1.1029   0.01295   0.00689  -0.0057   0.0360   1.0000
   9.500   1.1280   0.01327   0.00724  -0.0053   0.0347   1.0000
   9.750   1.1526   0.01364   0.00762  -0.0049   0.0329   1.0000
  10.000   1.1768   0.01406   0.00805  -0.0045   0.0308   1.0000
  10.250   1.2012   0.01444   0.00846  -0.0040   0.0294   1.0000
  10.500   1.2257   0.01480   0.00886  -0.0036   0.0283   1.0000
  10.750   1.2498   0.01519   0.00928  -0.0032   0.0271   1.0000
  11.000   1.2734   0.01564   0.00975  -0.0027   0.0258   1.0000
  11.250   1.2965   0.01613   0.01026  -0.0022   0.0244   1.0000
  11.500   1.3198   0.01657   0.01076  -0.0017   0.0235   1.0000
  11.750   1.3431   0.01700   0.01123  -0.0012   0.0224   1.0000
  12.000   1.3656   0.01750   0.01176  -0.0006   0.0208   1.0000
  12.250   1.3871   0.01809   0.01236   0.0000   0.0190   1.0000
  12.500   1.4089   0.01862   0.01294   0.0006   0.0174   1.0000
  12.750   1.4290   0.01931   0.01364   0.0014   0.0150   1.0000
  13.000   1.4482   0.02006   0.01442   0.0023   0.0124   1.0000
  13.250   1.4661   0.02090   0.01529   0.0032   0.0105   1.0000
  13.500   1.4830   0.02179   0.01623   0.0043   0.0091   1.0000
  13.750   1.4996   0.02265   0.01715   0.0054   0.0084   1.0000
  14.000   1.5144   0.02360   0.01818   0.0067   0.0078   1.0000
  14.250   1.5274   0.02463   0.01928   0.0081   0.0072   1.0000
  14.500   1.5380   0.02561   0.02035   0.0099   0.0070   1.0000
  14.750   1.5466   0.02666   0.02149   0.0118   0.0068   1.0000
  15.000   1.5531   0.02789   0.02282   0.0135   0.0066   1.0000
  15.250   1.5579   0.02936   0.02438   0.0150   0.0064   1.0000
  15.500   1.5609   0.03112   0.02625   0.0162   0.0062   1.0000
  15.750   1.5620   0.03325   0.02849   0.0168   0.0060   1.0000
  16.000   1.5609   0.03586   0.03122   0.0168   0.0059   1.0000
  16.250   1.5573   0.03905   0.03453   0.0161   0.0057   1.0000
  16.500   1.5505   0.04299   0.03860   0.0146   0.0056   1.0000
  16.750   1.5395   0.04788   0.04365   0.0122   0.0055   1.0000
  17.000   1.5232   0.05399   0.04992   0.0088   0.0055   1.0000
  17.250   1.5002   0.06149   0.05760   0.0044   0.0055   1.0000
  17.500   1.4686   0.07064   0.06694  -0.0007   0.0055   1.0000
  17.750   1.4276   0.08152   0.07802  -0.0065   0.0056   1.0000
  18.000   1.3769   0.09411   0.09082  -0.0130   0.0058   1.0000
  18.250   1.3231   0.10750   0.10441  -0.0198   0.0060   1.0000
