  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 79-100 A AIRFOIL                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   8.000   1.2765   0.01475   0.00805  -0.0976   0.0103   1.0000
   8.250   1.2992   0.01514   0.00847  -0.0969   0.0095   1.0000
   8.500   1.3212   0.01558   0.00893  -0.0959   0.0088   1.0000
   8.750   1.3425   0.01606   0.00943  -0.0949   0.0081   1.0000
   9.000   1.3628   0.01662   0.01002  -0.0938   0.0075   1.0000
   9.250   1.3834   0.01710   0.01056  -0.0927   0.0073   1.0000
   9.500   1.4035   0.01760   0.01110  -0.0915   0.0070   1.0000
   9.750   1.4227   0.01814   0.01168  -0.0902   0.0068   1.0000
  10.000   1.4413   0.01869   0.01228  -0.0888   0.0066   1.0000
  10.250   1.4584   0.01926   0.01290  -0.0872   0.0063   1.0000
  10.500   1.4733   0.01986   0.01355  -0.0852   0.0061   1.0000
  10.750   1.4871   0.02049   0.01424  -0.0830   0.0059   1.0000
  11.000   1.5000   0.02118   0.01498  -0.0808   0.0058   1.0000
  11.250   1.5116   0.02196   0.01582  -0.0785   0.0055   1.0000
  11.500   1.5206   0.02294   0.01687  -0.0760   0.0053   1.0000
  11.750   1.5284   0.02403   0.01804  -0.0735   0.0051   1.0000
  12.000   1.5397   0.02490   0.01898  -0.0715   0.0051   1.0000
  12.250   1.5493   0.02592   0.02008  -0.0695   0.0050   1.0000
  12.500   1.5584   0.02701   0.02125  -0.0676   0.0049   1.0000
  12.750   1.5669   0.02820   0.02252  -0.0657   0.0048   1.0000
  13.000   1.5744   0.02951   0.02393  -0.0638   0.0047   1.0000
  13.250   1.5812   0.03093   0.02544  -0.0621   0.0046   1.0000
  13.500   1.5870   0.03248   0.02708  -0.0605   0.0046   1.0000
  13.750   1.5915   0.03423   0.02892  -0.0589   0.0045   1.0000
  14.000   1.5948   0.03616   0.03095  -0.0575   0.0044   1.0000
  14.250   1.5986   0.03811   0.03299  -0.0563   0.0043   1.0000
  14.500   1.6003   0.04037   0.03536  -0.0553   0.0043   1.0000
  14.750   1.6009   0.04284   0.03793  -0.0544   0.0042   1.0000
  15.000   1.6005   0.04553   0.04072  -0.0537   0.0042   1.0000
  15.250   1.6010   0.04824   0.04353  -0.0533   0.0041   1.0000
  15.500   1.5996   0.05129   0.04669  -0.0532   0.0040   1.0000
  15.750   1.5960   0.05478   0.05031  -0.0533   0.0040   1.0000
  16.000   1.5927   0.05841   0.05405  -0.0537   0.0039   1.0000
  16.250   1.5896   0.06217   0.05791  -0.0544   0.0038   1.0000
  16.500   1.5817   0.06680   0.06266  -0.0555   0.0038   1.0000
  16.750   1.5743   0.07156   0.06754  -0.0569   0.0038   1.0000
  17.000   1.5654   0.07674   0.07285  -0.0587   0.0037   1.0000
  17.250   1.5561   0.08217   0.07840  -0.0608   0.0037   1.0000
  17.500   1.5425   0.08853   0.08490  -0.0634   0.0037   1.0000
  17.750   1.5300   0.09492   0.09141  -0.0662   0.0036   1.0000
  18.000   1.5141   0.10216   0.09879  -0.0697   0.0036   1.0000
  18.250   1.4973   0.10977   0.10654  -0.0734   0.0036   1.0000
  18.500   1.4803   0.11763   0.11454  -0.0775   0.0036   1.0000
  18.750   1.4626   0.12584   0.12289  -0.0820   0.0036   1.0000
  19.000   1.4455   0.13408   0.13126  -0.0866   0.0036   1.0000
