  
       XFOIL         Version 6.96
  
 Calculated polar for: BOEING-VERTOL V23010-1.58 AIRFOIL               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -2.500  -0.1149   0.01547   0.00707  -0.0196   0.8153   0.0323
  -2.250  -0.0896   0.01491   0.00645  -0.0188   0.7881   0.0328
  -2.000  -0.0648   0.01446   0.00591  -0.0178   0.7651   0.0333
  -1.750  -0.0403   0.01408   0.00545  -0.0169   0.7438   0.0339
  -1.500  -0.0157   0.01378   0.00508  -0.0160   0.7224   0.0351
  -1.250   0.0089   0.01352   0.00474  -0.0151   0.6987   0.0367
  -1.000   0.0333   0.01326   0.00438  -0.0142   0.6706   0.0377
  -0.750   0.0570   0.01298   0.00401  -0.0132   0.6371   0.0387
  -0.500   0.0811   0.01283   0.00371  -0.0122   0.6007   0.0400
  -0.250   0.1054   0.01276   0.00345  -0.0113   0.5639   0.0418
   0.000   0.1299   0.01275   0.00323  -0.0104   0.5250   0.0440
   0.250   0.1542   0.01275   0.00305  -0.0096   0.4821   0.0479
   0.500   0.1785   0.01279   0.00290  -0.0087   0.4391   0.0576
   0.750   0.1934   0.01139   0.00269  -0.0069   0.4079   0.4598
   1.000   0.2067   0.01061   0.00283  -0.0037   0.3826   0.7257
   1.250   0.2319   0.01053   0.00301  -0.0023   0.3583   0.8482
   1.500   0.2926   0.01082   0.00330  -0.0081   0.3324   0.9499
   1.750   0.3380   0.01110   0.00342  -0.0116   0.3162   0.9731
   2.000   0.3760   0.01131   0.00349  -0.0137   0.3034   0.9827
   2.250   0.4137   0.01149   0.00355  -0.0158   0.2917   0.9900
   2.500   0.4507   0.01168   0.00362  -0.0179   0.2811   0.9971
   2.750   0.4797   0.01186   0.00371  -0.0183   0.2727   1.0000
   3.000   0.5017   0.01204   0.00381  -0.0172   0.2665   1.0000
   3.250   0.5241   0.01220   0.00394  -0.0161   0.2612   1.0000
   3.500   0.5466   0.01241   0.00409  -0.0151   0.2565   1.0000
