  
       XFOIL         Version 6.96
  
 Calculated polar for: AH 94-W-301                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -18.500  -1.0719   0.09765   0.09269  -0.0320   1.0000   0.1584
 -18.250  -1.0745   0.09438   0.08941  -0.0329   1.0000   0.1619
 -18.000  -1.0717   0.09175   0.08676  -0.0337   1.0000   0.1653
 -17.750  -1.0680   0.08925   0.08422  -0.0344   1.0000   0.1681
 -17.500  -1.0711   0.08603   0.08101  -0.0352   1.0000   0.1716
 -17.250  -1.0696   0.08335   0.07833  -0.0359   1.0000   0.1751
 -17.000  -1.0666   0.08083   0.07579  -0.0365   1.0000   0.1784
 -16.750  -1.0648   0.07818   0.07311  -0.0371   1.0000   0.1815
 -16.500  -1.0652   0.07540   0.07035  -0.0376   1.0000   0.1852
 -16.250  -1.0649   0.07269   0.06763  -0.0381   1.0000   0.1891
 -16.000  -1.0629   0.07017   0.06507  -0.0386   1.0000   0.1926
 -15.750  -1.0589   0.06790   0.06280  -0.0389   1.0000   0.1958
 -15.500  -1.0601   0.06515   0.06006  -0.0393   1.0000   0.1995
 -15.250  -1.0561   0.06251   0.05741  -0.0402   0.9986   0.2035
 -15.000  -1.0051   0.05900   0.05368  -0.0511   0.8898   0.2084
 -14.750  -1.0040   0.05651   0.05092  -0.0516   0.8214   0.2124
 -14.500  -1.0010   0.05438   0.04865  -0.0517   0.7935   0.2165
 -14.250  -0.9958   0.05240   0.04655  -0.0519   0.7734   0.2203
 -14.000  -0.9901   0.05041   0.04445  -0.0522   0.7567   0.2236
 -13.750  -0.9874   0.04824   0.04223  -0.0524   0.7415   0.2276
 -13.500  -0.9843   0.04603   0.03996  -0.0527   0.7278   0.2318
 -13.250  -0.9768   0.04427   0.03811  -0.0529   0.7153   0.2356
 -13.000  -0.9694   0.04249   0.03626  -0.0531   0.7036   0.2390
 -12.750  -0.9669   0.04035   0.03407  -0.0533   0.6938   0.2432
 -12.500  -0.9604   0.03852   0.03221  -0.0535   0.6849   0.2473
 -12.250  -0.9524   0.03684   0.03045  -0.0536   0.6756   0.2511
 -12.000  -0.9436   0.03529   0.02884  -0.0538   0.6674   0.2546
 -11.750  -0.9397   0.03338   0.02691  -0.0538   0.6593   0.2586
 -11.500  -0.9323   0.03184   0.02531  -0.0537   0.6508   0.2626
 -11.250  -0.9232   0.03039   0.02380  -0.0537   0.6436   0.2664
 -11.000  -0.9122   0.02911   0.02246  -0.0537   0.6366   0.2697
 -10.750  -0.9064   0.02749   0.02083  -0.0536   0.6301   0.2736
 -10.250  -0.8852   0.02494   0.01818  -0.0534   0.6186   0.2812
 -10.000  -0.8706   0.02392   0.01710  -0.0535   0.6126   0.2844
  -9.750  -0.8611   0.02264   0.01580  -0.0532   0.6066   0.2880
  -9.250  -0.8375   0.02043   0.01352  -0.0528   0.5959   0.2956
  -9.000  -0.8245   0.01955   0.01260  -0.0523   0.5908   0.2990
  -8.750  -0.8139   0.01876   0.01175  -0.0514   0.5860   0.3019
  -8.500  -0.7975   0.01788   0.01085  -0.0517   0.5812   0.3056
